        p	Mean size	    P inf	    P span
0.000976562	         1	         0	         0	         1	         1
0.00195312	     1.004	         0	         0
0.00292969	         1	         0	         0
0.00390625	         1	         0	         0
0.00488281	         1	         0	         0
0.00585938	         1	         0	         0
0.00683594	         1	         0	         0
 0.0078125	         1	         0	         0
0.00878906	     1.001	         0	         0
0.00976562	     1.001	         0	         0
 0.0107422	     1.001	         0	         0
 0.0117188	     1.001	         0	         0
 0.0126953	         1	         0	         0
 0.0136719	         1	         0	         0
 0.0146484	         1	         0	         0
  0.015625	         1	         0	         0
 0.0166016	         1	         0	         0
 0.0175781	         1	         0	         0
 0.0185547	         1	         0	         0
 0.0195312	         1	         0	         0
 0.0205078	         1	         0	         0
 0.0214844	         1	         0	         0
 0.0224609	         1	         0	         0
 0.0234375	         1	         0	         0
 0.0244141	         1	         0	         0
 0.0253906	         1	         0	         0
 0.0263672	         1	         0	         0
 0.0273438	         1	         0	         0
 0.0283203	         1	         0	         0
 0.0292969	         1	         0	         0
 0.0302734	         1	         0	         0
   0.03125	         1	         0	         0
 0.0322266	         1	         0	         0
 0.0332031	         1	         0	         0
 0.0341797	         1	         0	         0
 0.0351562	         1	         0	         0
 0.0361328	         1	         0	         0
 0.0371094	         1	         0	         0
 0.0380859	         1	         0	         0
 0.0390625	         1	         0	         0
 0.0400391	         1	         0	         0
 0.0410156	         1	         0	         0
 0.0419922	         1	         0	         0
 0.0429688	         1	         0	         0
 0.0439453	         1	         0	         0
 0.0449219	         1	         0	         0
 0.0458984	         1	         0	         0
  0.046875	         1	         0	         0
 0.0478516	         1	         0	         0
 0.0488281	         1	         0	         0
 0.0498047	         1	         0	         0
 0.0507812	         1	         0	         0
 0.0517578	         1	         0	         0
 0.0527344	         1	         0	         0
 0.0537109	         1	         0	         0
 0.0546875	         1	         0	         0
 0.0556641	         1	         0	         0
 0.0566406	         1	         0	         0
 0.0576172	         1	         0	         0
 0.0585938	         1	         0	         0
 0.0595703	         1	         0	         0
 0.0605469	         1	         0	         0
 0.0615234	         1	         0	         0
    0.0625	         1	         0	         0
 0.0634766	         1	         0	         0
 0.0644531	         1	         0	         0
 0.0654297	         1	         0	         0
 0.0664062	         1	         0	         0
 0.0673828	         1	         0	         0
 0.0683594	         1	         0	         0
 0.0693359	         1	         0	         0
 0.0703125	         1	         0	         0
 0.0712891	         1	         0	         0
 0.0722656	         1	         0	         0
 0.0732422	         1	         0	         0
 0.0742188	     1.001	         0	         0
 0.0751953	     1.001	         0	         0
 0.0761719	     1.001	         0	         0
 0.0771484	         1	         0	         0
  0.078125	         1	         0	         0
 0.0791016	         1	         0	         0
 0.0800781	         1	         0	         0
 0.0810547	     1.002	         0	         0
 0.0820312	     1.002	         0	         0
 0.0830078	     1.002	         0	         0
 0.0839844	     1.002	         0	         0
 0.0849609	     1.002	         0	         0
 0.0859375	     1.002	         0	         0
 0.0869141	     1.002	         0	         0
 0.0878906	     1.003	         0	         0
 0.0888672	     1.003	         0	         0
 0.0898438	     1.003	         0	         0
 0.0908203	     1.002	         0	         0
 0.0917969	     1.004	         0	         0
 0.0927734	     1.003	         0	         0
   0.09375	     1.005	         0	         0
 0.0947266	     1.005	         0	         0
 0.0957031	     1.005	         0	         0
 0.0966797	     1.006	         0	         0
 0.0976562	     1.006	         0	         0
 0.0986328	     1.005	         0	         0
 0.0996094	     1.006	         0	         0
  0.100586	     1.005	         0	         0
  0.101562	     1.007	         0	         0
  0.102539	     1.011	         0	         0
  0.103516	     1.012	         0	         0
  0.104492	     1.013	         0	         0
  0.105469	     1.016	         0	         0
  0.106445	     1.016	         0	         0
  0.107422	     1.018	         0	         0
  0.108398	     1.016	         0	         0
  0.109375	     1.019	         0	         0
  0.110352	     1.018	         0	         0
  0.111328	     1.022	         0	         0
  0.112305	     1.024	         0	         0
  0.113281	      1.03	         0	         0
  0.114258	     1.028	         0	         0
  0.115234	     1.032	         0	         0
  0.116211	     1.029	         0	         0
  0.117188	     1.035	         0	         0
  0.118164	     1.038	         0	         0
  0.119141	     1.043	         0	         0
  0.120117	     1.045	         0	         0
  0.121094	     1.054	         0	         0
   0.12207	     1.053	         0	         0
  0.123047	     1.058	         0	         0
  0.124023	     1.059	         0	         0
     0.125	     1.065	         0	         0
  0.125977	     1.067	         0	         0
  0.126953	     1.073	         0	         0
   0.12793	     1.075	         0	         0
  0.128906	     1.087	         0	         0
  0.129883	     1.084	         0	         0
  0.130859	     1.098	         0	         0
  0.131836	     1.095	         0	         0
  0.132812	     1.105	         0	         0
  0.133789	     1.116	         0	         0
  0.134766	     1.134	         0	         0
  0.135742	      1.13	         0	         0
  0.136719	     1.145	         0	         0
  0.137695	     1.149	         0	         0
  0.138672	     1.167	         0	         0
  0.139648	     1.174	         0	         0
  0.140625	     1.196	         0	         0
  0.141602	     1.201	         0	         0
  0.142578	     1.221	         0	         0
  0.143555	     1.217	         0	         0
  0.144531	     1.235	         0	         0
  0.145508	     1.238	         0	         0
  0.146484	      1.26	         0	         0
  0.147461	     1.264	         0	         0
  0.148438	     1.288	         0	         0
  0.149414	     1.293	         0	         0
  0.150391	     1.323	         0	         0
  0.151367	      1.33	         0	         0
  0.152344	     1.361	         0	         0
   0.15332	     1.374	         0	         0
  0.154297	     1.401	         0	         0
  0.155273	      1.41	         0	         0
   0.15625	     1.441	         0	         0
  0.157227	     1.448	         0	         0
  0.158203	      1.47	         0	         0
   0.15918	      1.48	         0	         0
  0.160156	     1.513	         0	         0
  0.161133	     1.515	         0	         0
  0.162109	     1.553	         0	         0
  0.163086	     1.565	         0	         0
  0.164062	     1.594	         0	         0
  0.165039	       1.6	         0	         0
  0.166016	     1.628	         0	         0
  0.166992	     1.629	         0	         0
  0.167969	     1.655	         0	         0
  0.168945	     1.671	         0	         0
  0.169922	     1.685	         0	         0
  0.170898	     1.691	         0	         0
  0.171875	     1.728	         0	         0
  0.172852	     1.736	         0	         0
  0.173828	     1.765	         0	         0
  0.174805	     1.777	         0	         0
  0.175781	     1.799	         0	         0
  0.176758	     1.799	         0	         0
  0.177734	     1.818	         0	         0
  0.178711	     1.822	         0	         0
  0.179688	     1.843	         0	         0
  0.180664	     1.854	         0	         0
  0.181641	     1.878	         0	         0
  0.182617	     1.878	         0	         0
  0.183594	     1.892	         0	         0
   0.18457	     1.899	         0	         0
  0.185547	     1.916	         0	         0
  0.186523	     1.926	         0	         0
    0.1875	     1.938	         0	         0
  0.188477	     1.943	         0	         0
  0.189453	     1.957	         0	         0
   0.19043	     1.962	         0	         0
  0.191406	     1.973	         0	         0
  0.192383	     1.975	         0	         0
  0.193359	     1.988	         0	         0
  0.194336	     1.993	         0	         0
  0.195312	     2.008	         0	         0
  0.196289	     2.011	         0	         0
  0.197266	     2.016	         0	         0
  0.198242	     2.024	         0	         0
  0.199219	     2.036	         0	         0
  0.200195	     2.045	         0	         0
  0.201172	     2.053	         0	         0
  0.202148	     2.063	         0	         0
  0.203125	      2.07	         0	         0
  0.204102	     2.075	         0	         0
  0.205078	     2.084	         0	         0
  0.206055	     2.093	         0	         0
  0.207031	     2.097	         0	         0
  0.208008	     2.101	         0	         0
  0.208984	     2.106	         0	         0
  0.209961	     2.117	         0	         0
  0.210938	     2.119	         0	         0
  0.211914	     2.134	         0	         0
  0.212891	     2.149	         0	         0
  0.213867	     2.161	         0	         0
  0.214844	     2.184	         0	         0
   0.21582	     2.192	         0	         0
  0.216797	     2.202	         0	         0
  0.217773	     2.213	         0	         0
   0.21875	     2.221	         0	         0
  0.219727	     2.223	         0	         0
  0.220703	     2.238	         0	         0
   0.22168	     2.251	         0	         0
  0.222656	     2.269	         0	         0
  0.223633	     2.279	         0	         0
  0.224609	       2.3	         0	         0
  0.225586	      2.32	         0	         0
  0.226562	     2.334	         0	         0
  0.227539	     2.351	         0	         0
  0.228516	     2.368	         0	         0
  0.229492	     2.395	         0	         0
  0.230469	      2.42	         0	         0
