        p	Mean size	    P inf	    P span
    0.0025	         1	         0	         0	         1	         1
     0.005	     1.007	         0	         0
    0.0075	     1.002	         0	         0
      0.01	     1.002	         0	         0
    0.0125	     1.004	         0	         0
     0.015	     1.006	         0	         0
    0.0175	     1.001	         0	         0
      0.02	     1.002	         0	         0
    0.0225	     1.004	         0	         0
     0.025	     1.005	         0	         0
    0.0275	     1.004	         0	         0
      0.03	     1.004	         0	         0
    0.0325	     1.002	         0	         0
     0.035	     1.002	         0	         0
    0.0375	     1.002	         0	         0
      0.04	     1.002	         0	         0
    0.0425	     1.002	         0	         0
     0.045	     1.002	         0	         0
    0.0475	     1.001	         0	         0
      0.05	     1.002	         0	         0
    0.0525	     1.001	         0	         0
     0.055	     1.001	         0	         0
    0.0575	     1.002	         0	         0
      0.06	     1.003	         0	         0
    0.0625	     1.002	         0	         0
     0.065	     1.004	         0	         0
    0.0675	     1.002	         0	         0
      0.07	     1.005	         0	         0
    0.0725	     1.003	         0	         0
     0.075	     1.007	         0	         0
    0.0775	     1.007	         0	         0
      0.08	     1.009	         0	         0
    0.0825	     1.005	         0	         0
     0.085	      1.01	         0	         0
    0.0875	     1.012	         0	         0
      0.09	     1.017	         0	         0
    0.0925	      1.02	         0	         0
     0.095	     1.035	         0	         0
    0.0975	     1.028	         0	         0
       0.1	     1.039	         0	         0
    0.1025	     1.041	         0	         0
     0.105	     1.052	         0	         0
    0.1075	     1.047	         0	         0
      0.11	     1.057	         0	         0
    0.1125	     1.059	         0	         0
     0.115	      1.08	         0	         0
    0.1175	     1.083	         0	         0
      0.12	     1.102	         0	         0
    0.1225	     1.101	         0	         0
     0.125	     1.119	         0	         0
    0.1275	      1.12	         0	         0
      0.13	     1.143	         0	         0
    0.1325	      1.15	         0	         0
     0.135	     1.185	         0	         0
    0.1375	     1.188	         0	         0
      0.14	     1.225	         0	         0
    0.1425	     1.234	         0	         0
     0.145	     1.271	         0	         0
    0.1475	     1.276	         0	         0
      0.15	     1.314	         0	         0
    0.1525	     1.319	         0	         0
     0.155	     1.369	         0	         0
    0.1575	     1.382	         0	         0
      0.16	     1.431	         0	         0
    0.1625	     1.433	         0	         0
     0.165	     1.484	         0	         0
    0.1675	     1.488	         0	         0
      0.17	     1.546	         0	         0
    0.1725	     1.553	         0	         0
     0.175	     1.608	         0	         0
    0.1775	     1.634	         0	         0
      0.18	     1.687	         0	         0
    0.1825	     1.705	         0	         0
     0.185	     1.759	         0	         0
    0.1875	     1.772	         0	         0
      0.19	     1.836	         0	         0
    0.1925	     1.841	         0	         0
     0.195	     1.892	         0	         0
    0.1975	     1.917	         0	         0
       0.2	     1.971	         0	         0
    0.2025	     1.993	         0	         0
     0.205	     2.033	         0	         0
    0.2075	     2.052	         0	         0
      0.21	     2.092	         0	         0
    0.2125	     2.112	         0	         0
     0.215	     2.152	         0	         0
    0.2175	     2.178	         0	         0
      0.22	     2.208	         0	         0
    0.2225	      2.24	         0	         0
     0.225	     2.276	         0	         0
    0.2275	     2.295	         0	         0
      0.23	     2.337	         0	         0
    0.2325	     2.373	         0	         0
     0.235	     2.417	         0	         0
    0.2375	     2.457	         0	         0
      0.24	     2.501	         0	         0
    0.2425	     2.549	         0	         0
     0.245	     2.591	         0	         0
    0.2475	     2.626	         0	         0
      0.25	     2.681	         0	         0
    0.2525	     2.722	         0	         0
     0.255	     2.779	         0	         0
    0.2575	     2.824	         0	         0
      0.26	     2.876	         0	         0
    0.2625	     2.927	         0	         0
     0.265	     2.969	         0	         0
    0.2675	     3.016	         0	         0
      0.27	     3.087	         0	         0
    0.2725	     3.146	         0	         0
     0.275	     3.204	         0	         0
    0.2775	     3.243	         0	         0
      0.28	       3.3	         0	         0
    0.2825	     3.361	         0	         0
     0.285	     3.422	         0	         0
    0.2875	     3.502	         0	         0
      0.29	     3.572	         0	         0
    0.2925	     3.623	         0	         0
     0.295	       3.7	         0	         0
    0.2975	     3.757	         0	         0
       0.3	     3.837	         0	         0
    0.3025	     3.918	         0	         0
     0.305	     3.989	         0	         0
    0.3075	     4.047	         0	         0
      0.31	     4.139	         0	         0
    0.3125	      4.24	         0	         0
     0.315	     4.319	         0	         0
    0.3175	     4.383	         0	         0
      0.32	     4.485	         0	         0
    0.3225	      4.56	         0	         0
     0.325	      4.68	         0	         0
    0.3275	     4.769	         0	         0
      0.33	     4.854	         0	         0
    0.3325	     4.961	         0	         0
     0.335	     5.058	         0	         0
    0.3375	     5.137	         0	         0
      0.34	     5.228	         0	         0
    0.3425	     5.332	         0	         0
     0.345	     5.413	         0	         0
    0.3475	     5.528	         0	         0
      0.35	     5.637	         0	         0
    0.3525	     5.737	         0	         0
     0.355	     5.847	         0	         0
    0.3575	     5.967	         0	         0
      0.36	     6.107	         0	         0
