        p	Mean size	    P inf	    P span
  0.015625	         1	         0	         0	         1	         1
   0.03125	     1.053	         0	         0
  0.046875	     1.014	         0	         0
    0.0625	     1.045	         0	         0
  0.078125	     1.068	         0	         0
   0.09375	      1.12	         0	         0
  0.109375	     1.084	         0	         0
     0.125	     1.169	         0	         0
  0.140625	      1.18	         0	         0
   0.15625	     1.308	         0	         0
  0.171875	     1.367	         0	         0
    0.1875	     1.513	         0	         0
  0.203125	     1.597	         0	         0
   0.21875	     1.781	         0	         0
  0.234375	     1.895	         0	         0
      0.25	     2.141	         0	         0
  0.265625	     2.288	         0	         0
   0.28125	     2.557	         0	         0
  0.296875	     2.781	         0	         0
    0.3125	     3.016	         0	         0
  0.328125	     3.231	0.000571429	     0.001
   0.34375	      3.57	0.000545455	     0.001
  0.359375	      3.95	0.00143478	     0.002
     0.375	     4.412	0.00354167	     0.006
  0.390625	       4.8	   0.00504	     0.009
   0.40625	     5.281	0.00723077	     0.013
  0.421875	     5.772	 0.0141852	     0.025
    0.4375	     6.332	 0.0236071	      0.04
  0.453125	     6.771	 0.0352414	     0.056
   0.46875	     7.259	    0.0555	     0.087
  0.484375	     7.754	  0.069871	      0.11
       0.5	      8.18	  0.100312	     0.154
  0.515625	     8.676	  0.125939	     0.191
   0.53125	     9.087	  0.162647	     0.236
  0.546875	     9.293	  0.215314	     0.308
    0.5625	     9.387	  0.268639	     0.366
  0.578125	     9.142	  0.336135	     0.445
   0.59375	     8.895	  0.411237	     0.536
  0.609375	     8.385	  0.485026	     0.616
     0.625	     8.061	  0.552175	     0.685
  0.640625	     7.523	  0.611976	     0.736
   0.65625	     6.831	  0.674929	     0.793
  0.671875	     5.842	  0.741791	     0.846
    0.6875	     4.959	  0.797227	     0.889
  0.703125	     4.026	  0.848467	     0.926
   0.71875	     3.222	  0.889217	     0.952
  0.734375	     2.492	  0.920191	      0.97
      0.75	     1.973	  0.941667	     0.981
  0.765625	     1.438	   0.96098	      0.99
   0.78125	     1.074	   0.97278	     0.994
  0.796875	     0.862	  0.979039	     0.995
    0.8125	     0.565	  0.987654	     0.999
  0.828125	     0.402	  0.991868	         1
   0.84375	     0.293	   0.99437	         1
  0.859375	     0.195	    0.9964	         1
     0.875	     0.132	  0.997589	         1
  0.890625	     0.086	  0.998474	         1
   0.90625	     0.062	  0.998931	         1
  0.921875	     0.041	  0.999305	         1
    0.9375	     0.019	  0.999683	         1
  0.953125	     0.006	  0.999902	         1
   0.96875	         0	         1	         1
  0.984375	         0	         1	         1
         1	         0	         1	         1
