        p	Mean size	    P inf	    P span
  0.652344	    18.023	  0.734509	     0.871
   0.65625	    17.238	  0.756167	     0.891
  0.660156	    16.177	  0.774006	     0.901
  0.664062	    15.176	  0.789888	     0.911
  0.667969	    14.329	  0.806409	     0.922
  0.671875	    13.315	  0.823047	     0.931
  0.675781	     11.93	  0.842462	     0.944
  0.679688	    11.154	  0.855063	     0.952
  0.683594	      10.7	  0.864829	     0.955
    0.6875	     9.856	  0.878045	     0.961
  0.691406	     8.881	  0.891254	     0.966
  0.695312	     7.731	  0.905921	     0.976
  0.699219	     7.449	  0.911821	     0.978
  0.703125	     7.198	  0.917028	     0.979
  0.707031	     6.806	  0.922575	      0.98
  0.710938	     6.313	  0.928709	     0.983
  0.714844	     5.589	  0.937945	     0.989
   0.71875	     5.212	  0.942967	     0.991
  0.722656	     4.901	  0.947724	     0.993
  0.726562	     4.509	  0.953591	     0.996
  0.730469	     4.119	  0.958048	     0.997
  0.734375	     4.013	  0.960223	     0.997
  0.738281	     3.786	  0.963312	     0.997
  0.742188	     3.406	  0.967495	     0.998
  0.746094	     3.118	  0.970487	     0.998
      0.75	     2.838	   0.97337	     0.999
  0.753906	      2.68	  0.975264	     0.999
  0.757812	     2.585	  0.977139	     0.999
  0.761719	     2.411	  0.979041	     0.999
  0.765625	     2.317	  0.980439	     0.999
  0.769531	     2.245	  0.981584	     0.999
  0.773438	     2.087	  0.983051	     0.999
  0.777344	     1.916	  0.984814	     0.999
   0.78125	     1.827	   0.98576	     0.999
  0.785156	     1.599	  0.987955	         1
  0.789062	      1.46	  0.989188	         1
  0.792969	      1.39	  0.990015	         1
  0.796875	     1.324	  0.990765	         1
  0.800781	     1.302	  0.991361	         1
  0.804688	     1.217	  0.992155	         1
  0.808594	     1.141	  0.992879	         1
    0.8125	     1.083	  0.993447	         1
  0.816406	     1.009	  0.993971	         1
  0.820312	     0.948	    0.9944	         1
  0.824219	     0.922	  0.994706	         1
  0.828125	     0.777	  0.995566	         1
  0.832031	     0.728	  0.995934	         1
  0.835938	      0.61	  0.996533	         1
  0.839844	     0.573	  0.996828	         1
   0.84375	     0.542	  0.997069	         1
  0.847656	     0.509	  0.997309	         1
  0.851562	     0.477	  0.997518	         1
  0.855469	     0.438	  0.997753	         1
  0.859375	      0.39	  0.998027	         1
  0.863281	     0.346	   0.99829	         1
  0.867188	     0.313	  0.998477	         1
  0.871094	     0.295	  0.998587	         1
     0.875	     0.263	  0.998759	         1
  0.878906	      0.24	   0.99888	         1
  0.882812	      0.22	  0.998982	         1
  0.886719	     0.187	  0.999132	         1
  0.890625	     0.169	  0.999219	         1
  0.894531	     0.149	  0.999332	         1
  0.898438	     0.139	  0.999378	         1
  0.902344	     0.126	  0.999437	         1
   0.90625	     0.117	  0.999478	         1
  0.910156	     0.105	  0.999532	         1
  0.914062	     0.101	   0.99956	         1
  0.917969	     0.087	  0.999621	         1
  0.921875	     0.068	  0.999703	         1
  0.925781	     0.058	  0.999747	         1
  0.929688	     0.049	  0.999794	         1
  0.933594	     0.046	  0.999808	         1
    0.9375	     0.036	   0.99985	         1
  0.941406	     0.031	  0.999871	         1
  0.945312	     0.025	  0.999897	         1
  0.949219	     0.019	  0.999922	         1
  0.953125	     0.015	  0.999939	         1
  0.957031	     0.011	  0.999955	         1
  0.960938	     0.008	  0.999967	         1
  0.964844	     0.007	  0.999972	         1
   0.96875	     0.005	   0.99998	         1
  0.972656	     0.005	   0.99998	         1
  0.976562	     0.004	  0.999984	         1
  0.980469	     0.002	  0.999992	         1
  0.984375	     0.002	  0.999992	         1
  0.988281	     0.001	  0.999996	         1
  0.992188	     0.001	  0.999996	         1
  0.996094	         0	         1	         1
         1	         0	         1	         1
