        p	Mean size	    P inf	    P span
  0.000625	         1	         0	         0	         1	         1
   0.00125	     1.001	         0	         0
  0.001875	         1	         0	         0
    0.0025	         1	         0	         0
  0.003125	         1	         0	         0
   0.00375	         1	         0	         0
  0.004375	         1	         0	         0
     0.005	         1	         0	         0
  0.005625	         1	         0	         0
   0.00625	         1	         0	         0
  0.006875	         1	         0	         0
    0.0075	         1	         0	         0
  0.008125	         1	         0	         0
   0.00875	         1	         0	         0
  0.009375	         1	         0	         0
      0.01	         1	         0	         0
  0.010625	         1	         0	         0
   0.01125	         1	         0	         0
  0.011875	         1	         0	         0
    0.0125	         1	         0	         0
  0.013125	         1	         0	         0
   0.01375	         1	         0	         0
  0.014375	         1	         0	         0
     0.015	         1	         0	         0
  0.015625	         1	         0	         0
   0.01625	         1	         0	         0
  0.016875	         1	         0	         0
    0.0175	         1	         0	         0
  0.018125	         1	         0	         0
   0.01875	         1	         0	         0
  0.019375	         1	         0	         0
      0.02	         1	         0	         0
  0.020625	         1	         0	         0
   0.02125	         1	         0	         0
  0.021875	         1	         0	         0
    0.0225	         1	         0	         0
  0.023125	         1	         0	         0
   0.02375	         1	         0	         0
  0.024375	         1	         0	         0
     0.025	         1	         0	         0
  0.025625	         1	         0	         0
   0.02625	         1	         0	         0
  0.026875	         1	         0	         0
    0.0275	         1	         0	         0
  0.028125	         1	         0	         0
   0.02875	         1	         0	         0
  0.029375	         1	         0	         0
      0.03	         1	         0	         0
  0.030625	         1	         0	         0
   0.03125	         1	         0	         0
  0.031875	         1	         0	         0
    0.0325	         1	         0	         0
  0.033125	         1	         0	         0
   0.03375	         1	         0	         0
  0.034375	         1	         0	         0
     0.035	         1	         0	         0
  0.035625	         1	         0	         0
   0.03625	         1	         0	         0
  0.036875	         1	         0	         0
    0.0375	         1	         0	         0
  0.038125	         1	         0	         0
   0.03875	         1	         0	         0
  0.039375	         1	         0	         0
      0.04	         1	         0	         0
  0.040625	         1	         0	         0
   0.04125	         1	         0	         0
  0.041875	         1	         0	         0
    0.0425	         1	         0	         0
  0.043125	         1	         0	         0
   0.04375	         1	         0	         0
  0.044375	         1	         0	         0
     0.045	         1	         0	         0
  0.045625	         1	         0	         0
   0.04625	         1	         0	         0
  0.046875	         1	         0	         0
    0.0475	         1	         0	         0
  0.048125	         1	         0	         0
   0.04875	         1	         0	         0
  0.049375	         1	         0	         0
      0.05	         1	         0	         0
  0.050625	         1	         0	         0
   0.05125	         1	         0	         0
  0.051875	         1	         0	         0
    0.0525	         1	         0	         0
  0.053125	         1	         0	         0
   0.05375	         1	         0	         0
  0.054375	         1	         0	         0
     0.055	         1	         0	         0
  0.055625	         1	         0	         0
   0.05625	         1	         0	         0
  0.056875	         1	         0	         0
    0.0575	         1	         0	         0
  0.058125	         1	         0	         0
   0.05875	         1	         0	         0
  0.059375	         1	         0	         0
      0.06	         1	         0	         0
  0.060625	         1	         0	         0
   0.06125	         1	         0	         0
  0.061875	         1	         0	         0
    0.0625	         1	         0	         0
  0.063125	         1	         0	         0
   0.06375	         1	         0	         0
  0.064375	         1	         0	         0
     0.065	         1	         0	         0
  0.065625	         1	         0	         0
   0.06625	         1	         0	         0
  0.066875	         1	         0	         0
    0.0675	         1	         0	         0
  0.068125	         1	         0	         0
   0.06875	         1	         0	         0
  0.069375	         1	         0	         0
      0.07	         1	         0	         0
  0.070625	         1	         0	         0
   0.07125	         1	         0	         0
  0.071875	         1	         0	         0
    0.0725	         1	         0	         0
  0.073125	         1	         0	         0
   0.07375	         1	         0	         0
  0.074375	         1	         0	         0
     0.075	         1	         0	         0
  0.075625	         1	         0	         0
   0.07625	         1	         0	         0
  0.076875	         1	         0	         0
    0.0775	         1	         0	         0
  0.078125	         1	         0	         0
   0.07875	         1	         0	         0
  0.079375	         1	         0	         0
      0.08	         1	         0	         0
  0.080625	         1	         0	         0
   0.08125	         1	         0	         0
  0.081875	         1	         0	         0
    0.0825	         1	         0	         0
  0.083125	         1	         0	         0
   0.08375	         1	         0	         0
  0.084375	         1	         0	         0
     0.085	         1	         0	         0
  0.085625	         1	         0	         0
   0.08625	         1	         0	         0
  0.086875	         1	         0	         0
    0.0875	         1	         0	         0
  0.088125	         1	         0	         0
   0.08875	         1	         0	         0
  0.089375	         1	         0	         0
      0.09	         1	         0	         0
  0.090625	         1	         0	         0
   0.09125	         1	         0	         0
  0.091875	         1	         0	         0
    0.0925	         1	         0	         0
  0.093125	         1	         0	         0
   0.09375	         1	         0	         0
  0.094375	         1	         0	         0
     0.095	         1	         0	         0
  0.095625	         1	         0	         0
   0.09625	         1	         0	         0
  0.096875	         1	         0	         0
    0.0975	         1	         0	         0
  0.098125	         1	         0	         0
   0.09875	         1	         0	         0
  0.099375	         1	         0	         0
       0.1	     1.001	         0	         0
  0.100625	     1.001	         0	         0
   0.10125	     1.001	         0	         0
  0.101875	     1.002	         0	         0
    0.1025	     1.002	         0	         0
  0.103125	     1.002	         0	         0
   0.10375	     1.002	         0	         0
  0.104375	     1.002	         0	         0
     0.105	     1.003	         0	         0
  0.105625	     1.003	         0	         0
   0.10625	     1.004	         0	         0
  0.106875	     1.004	         0	         0
    0.1075	     1.004	         0	         0
  0.108125	     1.004	         0	         0
   0.10875	     1.004	         0	         0
  0.109375	     1.005	         0	         0
      0.11	     1.008	         0	         0
  0.110625	     1.006	         0	         0
   0.11125	     1.007	         0	         0
  0.111875	     1.009	         0	         0
    0.1125	      1.01	         0	         0
  0.113125	     1.009	         0	         0
   0.11375	     1.012	         0	         0
  0.114375	     1.011	         0	         0
     0.115	     1.012	         0	         0
  0.115625	     1.012	         0	         0
   0.11625	     1.015	         0	         0
  0.116875	     1.013	         0	         0
    0.1175	     1.016	         0	         0
  0.118125	     1.015	         0	         0
   0.11875	     1.022	         0	         0
  0.119375	      1.02	         0	         0
      0.12	     1.021	         0	         0
  0.120625	      1.02	         0	         0
   0.12125	     1.025	         0	         0
  0.121875	     1.025	         0	         0
    0.1225	     1.025	         0	         0
  0.123125	     1.027	         0	         0
   0.12375	     1.031	         0	         0
  0.124375	      1.03	         0	         0
     0.125	     1.036	         0	         0
  0.125625	     1.036	         0	         0
   0.12625	     1.038	         0	         0
  0.126875	     1.039	         0	         0
    0.1275	     1.046	         0	         0
  0.128125	     1.045	         0	         0
   0.12875	     1.053	         0	         0
  0.129375	     1.055	         0	         0
      0.13	      1.06	         0	         0
  0.130625	      1.06	         0	         0
   0.13125	     1.068	         0	         0
  0.131875	     1.073	         0	         0
    0.1325	     1.081	         0	         0
  0.133125	     1.087	         0	         0
   0.13375	     1.096	         0	         0
  0.134375	       1.1	         0	         0
     0.135	     1.112	         0	         0
  0.135625	     1.111	         0	         0
   0.13625	     1.125	         0	         0
  0.136875	     1.127	         0	         0
    0.1375	     1.138	         0	         0
  0.138125	      1.14	         0	         0
   0.13875	     1.149	         0	         0
  0.139375	     1.153	         0	         0
      0.14	     1.167	         0	         0
  0.140625	      1.17	         0	         0
   0.14125	      1.18	         0	         0
  0.141875	     1.187	         0	         0
    0.1425	     1.209	         0	         0
  0.143125	     1.209	         0	         0
   0.14375	     1.228	         0	         0
  0.144375	     1.226	         0	         0
     0.145	     1.241	         0	         0
  0.145625	     1.251	         0	         0
   0.14625	      1.27	         0	         0
  0.146875	     1.273	         0	         0
    0.1475	     1.293	         0	         0
  0.148125	     1.291	         0	         0
   0.14875	     1.312	         0	         0
  0.149375	     1.317	         0	         0
      0.15	     1.346	         0	         0
  0.150625	     1.351	         0	         0
   0.15125	     1.376	         0	         0
  0.151875	     1.386	         0	         0
    0.1525	     1.402	         0	         0
  0.153125	     1.404	         0	         0
   0.15375	     1.427	         0	         0
  0.154375	     1.431	         0	         0
     0.155	     1.454	         0	         0
  0.155625	     1.459	         0	         0
   0.15625	     1.493	         0	         0
  0.156875	     1.499	         0	         0
    0.1575	     1.523	         0	         0
  0.158125	     1.532	         0	         0
   0.15875	     1.553	         0	         0
  0.159375	      1.56	         0	         0
      0.16	      1.58	         0	         0
  0.160625	     1.583	         0	         0
   0.16125	     1.604	         0	         0
  0.161875	     1.608	         0	         0
    0.1625	     1.624	         0	         0
  0.163125	     1.635	         0	         0
   0.16375	     1.656	         0	         0
  0.164375	     1.664	         0	         0
     0.165	     1.682	         0	         0
  0.165625	     1.688	         0	         0
   0.16625	     1.715	         0	         0
  0.166875	     1.719	         0	         0
    0.1675	      1.74	         0	         0
  0.168125	     1.753	         0	         0
   0.16875	     1.766	         0	         0
  0.169375	     1.774	         0	         0
      0.17	      1.79	         0	         0
