        p	Mean size	    P inf	    P span
      0.01	         1	         0	         0	         1	         1
      0.02	     1.031	         0	         0
      0.03	      1.01	         0	         0
      0.04	     1.023	         0	         0
      0.05	     1.038	         0	         0
      0.06	     1.064	         0	         0
      0.07	     1.039	         0	         0
      0.08	     1.067	         0	         0
      0.09	     1.057	         0	         0
       0.1	     1.113	         0	         0
      0.11	     1.124	         0	         0
      0.12	     1.175	         0	         0
      0.13	     1.186	         0	         0
      0.14	     1.265	         0	         0
      0.15	     1.264	         0	         0
      0.16	     1.364	         0	         0
      0.17	     1.389	         0	         0
      0.18	     1.515	         0	         0
      0.19	     1.567	         0	         0
       0.2	     1.698	         0	         0
      0.21	     1.776	         0	         0
      0.22	     1.929	         0	         0
      0.23	     2.037	         0	         0
      0.24	     2.203	         0	         0
      0.25	     2.289	         0	         0
      0.26	     2.464	         0	         0
      0.27	     2.612	         0	         0
      0.28	     2.779	         0	         0
      0.29	     2.936	0.000413793	     0.001
       0.3	     3.116	0.000433333	     0.001
      0.31	     3.296	0.000483871	     0.001
      0.32	     3.554	0.00046875	     0.001
      0.33	     3.774	0.00115152	     0.002
      0.34	     4.044	0.00164706	     0.003
      0.35	     4.323	0.00162857	     0.003
      0.36	     4.628	0.00161111	     0.003
      0.37	      4.87	0.00335135	     0.006
      0.38	     5.231	0.00439474	     0.008
      0.39	     5.539	0.00661538	     0.012
       0.4	     5.975	  0.006625	     0.012
      0.41	     6.413	0.00795122	     0.015
      0.42	     6.811	     0.012	     0.022
      0.43	     7.286	 0.0163023	     0.028
      0.44	     7.776	 0.0196591	     0.034
      0.45	     8.307	 0.0236889	     0.041
      0.46	     8.854	 0.0293913	     0.049
      0.47	     9.296	 0.0373617	     0.061
      0.48	     9.969	 0.0456458	     0.074
      0.49	    10.559	 0.0590816	     0.096
       0.5	    11.232	    0.0705	     0.114
      0.51	     11.86	 0.0871373	     0.139
      0.52	    12.357	  0.111327	     0.175
      0.53	    12.793	  0.135132	     0.208
      0.54	    12.993	  0.172315	      0.26
      0.55	    13.196	  0.203509	     0.297
      0.56	    13.528	   0.23925	     0.345
      0.57	     13.66	  0.278614	     0.392
      0.58	    13.683	  0.321586	     0.445
      0.59	    13.294	  0.379441	     0.517
       0.6	    12.964	   0.43005	     0.573
      0.61	    12.535	  0.480098	     0.627
      0.62	    12.064	  0.527065	      0.67
      0.63	    11.284	  0.577254	     0.718
      0.64	    10.194	  0.637219	     0.775
      0.65	      9.31	  0.680815	      0.81
      0.66	     8.893	  0.717848	     0.844
      0.67	     8.087	  0.758403	     0.874
      0.68	     7.197	  0.794926	     0.898
      0.69	     6.434	  0.825101	     0.917
       0.7	     5.654	  0.855786	     0.938
      0.71	     5.049	  0.878085	     0.949
      0.72	     4.299	  0.901625	     0.963
      0.73	     3.708	   0.91937	     0.971
      0.74	     3.042	  0.936743	     0.979
      0.75	     2.623	  0.949027	     0.986
      0.76	     2.032	  0.961947	     0.993
      0.77	     1.593	  0.971701	     0.997
      0.78	       1.4	  0.976577	     0.998
      0.79	     1.115	  0.982038	     0.999
       0.8	     0.922	    0.9855	     0.999
      0.81	     0.718	  0.988938	     0.999
      0.82	     0.608	  0.991134	     0.999
      0.83	      0.51	  0.992675	     0.999
      0.84	     0.357	  0.994857	     0.999
      0.85	     0.284	  0.995847	     0.999
      0.86	     0.187	  0.997651	         1
      0.87	     0.153	  0.998161	         1
      0.88	     0.128	  0.998477	         1
      0.89	     0.091	  0.998921	         1
       0.9	     0.072	  0.999178	         1
      0.91	     0.052	  0.999407	         1
      0.92	     0.032	  0.999641	         1
      0.93	     0.023	  0.999753	         1
      0.94	     0.018	  0.999809	         1
      0.95	     0.008	  0.999916	         1
      0.96	     0.002	  0.999979	         1
      0.97	     0.001	   0.99999	         1
      0.98	         0	         1	         1
      0.99	         0	         1	         1
         1	         0	         1	         1
