        p	Mean size	    P inf	    P span
0.000244141	         1	         0	         0	         1	         1
0.000488281	         1	         0	         0
0.000732422	         1	         0	         0
0.000976562	     1.001	         0	         0
 0.0012207	         1	         0	         0
0.00146484	         1	         0	         0
0.00170898	         1	         0	         0
0.00195312	         1	         0	         0
0.00219727	         1	         0	         0
0.00244141	         1	         0	         0
0.00268555	         1	         0	         0
0.00292969	         1	         0	         0
0.00317383	         1	         0	         0
0.00341797	         1	         0	         0
0.00366211	         1	         0	         0
0.00390625	         1	         0	         0
0.00415039	         1	         0	         0
0.00439453	         1	         0	         0
0.00463867	         1	         0	         0
0.00488281	         1	         0	         0
0.00512695	         1	         0	         0
0.00537109	         1	         0	         0
0.00561523	         1	         0	         0
0.00585938	         1	         0	         0
0.00610352	         1	         0	         0
0.00634766	         1	         0	         0
 0.0065918	         1	         0	         0
0.00683594	         1	         0	         0
0.00708008	         1	         0	         0
0.00732422	         1	         0	         0
0.00756836	         1	         0	         0
 0.0078125	         1	         0	         0
0.00805664	         1	         0	         0
0.00830078	         1	         0	         0
0.00854492	         1	         0	         0
0.00878906	         1	         0	         0
 0.0090332	         1	         0	         0
0.00927734	         1	         0	         0
0.00952148	         1	         0	         0
0.00976562	         1	         0	         0
 0.0100098	         1	         0	         0
 0.0102539	         1	         0	         0
  0.010498	         1	         0	         0
 0.0107422	         1	         0	         0
 0.0109863	         1	         0	         0
 0.0112305	         1	         0	         0
 0.0114746	         1	         0	         0
 0.0117188	         1	         0	         0
 0.0119629	         1	         0	         0
  0.012207	         1	         0	         0
 0.0124512	         1	         0	         0
 0.0126953	         1	         0	         0
 0.0129395	         1	         0	         0
 0.0131836	         1	         0	         0
 0.0134277	         1	         0	         0
 0.0136719	         1	         0	         0
  0.013916	         1	         0	         0
 0.0141602	         1	         0	         0
 0.0144043	         1	         0	         0
 0.0146484	         1	         0	         0
 0.0148926	         1	         0	         0
 0.0151367	         1	         0	         0
 0.0153809	         1	         0	         0
  0.015625	         1	         0	         0
 0.0158691	         1	         0	         0
 0.0161133	         1	         0	         0
 0.0163574	         1	         0	         0
 0.0166016	         1	         0	         0
 0.0168457	         1	         0	         0
 0.0170898	         1	         0	         0
  0.017334	         1	         0	         0
 0.0175781	         1	         0	         0
 0.0178223	         1	         0	         0
 0.0180664	         1	         0	         0
 0.0183105	         1	         0	         0
 0.0185547	         1	         0	         0
 0.0187988	         1	         0	         0
  0.019043	         1	         0	         0
 0.0192871	         1	         0	         0
 0.0195312	         1	         0	         0
 0.0197754	         1	         0	         0
 0.0200195	         1	         0	         0
 0.0202637	         1	         0	         0
 0.0205078	         1	         0	         0
  0.020752	         1	         0	         0
 0.0209961	         1	         0	         0
 0.0212402	         1	         0	         0
 0.0214844	         1	         0	         0
 0.0217285	         1	         0	         0
 0.0219727	         1	         0	         0
 0.0222168	         1	         0	         0
 0.0224609	         1	         0	         0
 0.0227051	         1	         0	         0
 0.0229492	         1	         0	         0
 0.0231934	         1	         0	         0
 0.0234375	         1	         0	         0
 0.0236816	         1	         0	         0
 0.0239258	         1	         0	         0
 0.0241699	         1	         0	         0
 0.0244141	         1	         0	         0
 0.0246582	         1	         0	         0
 0.0249023	         1	         0	         0
 0.0251465	         1	         0	         0
 0.0253906	         1	         0	         0
 0.0256348	         1	         0	         0
 0.0258789	         1	         0	         0
  0.026123	         1	         0	         0
 0.0263672	         1	         0	         0
 0.0266113	         1	         0	         0
 0.0268555	         1	         0	         0
 0.0270996	         1	         0	         0
 0.0273438	         1	         0	         0
 0.0275879	         1	         0	         0
  0.027832	         1	         0	         0
 0.0280762	         1	         0	         0
 0.0283203	         1	         0	         0
 0.0285645	         1	         0	         0
 0.0288086	         1	         0	         0
 0.0290527	         1	         0	         0
 0.0292969	         1	         0	         0
  0.029541	         1	         0	         0
 0.0297852	         1	         0	         0
 0.0300293	         1	         0	         0
 0.0302734	         1	         0	         0
 0.0305176	         1	         0	         0
 0.0307617	         1	         0	         0
 0.0310059	         1	         0	         0
   0.03125	         1	         0	         0
 0.0314941	         1	         0	         0
 0.0317383	         1	         0	         0
 0.0319824	         1	         0	         0
 0.0322266	         1	         0	         0
 0.0324707	         1	         0	         0
 0.0327148	         1	         0	         0
  0.032959	         1	         0	         0
 0.0332031	         1	         0	         0
 0.0334473	         1	         0	         0
 0.0336914	         1	         0	         0
 0.0339355	         1	         0	         0
 0.0341797	         1	         0	         0
 0.0344238	         1	         0	         0
  0.034668	         1	         0	         0
 0.0349121	         1	         0	         0
 0.0351562	         1	         0	         0
 0.0354004	         1	         0	         0
 0.0356445	         1	         0	         0
 0.0358887	         1	         0	         0
 0.0361328	         1	         0	         0
  0.036377	         1	         0	         0
 0.0366211	         1	         0	         0
 0.0368652	         1	         0	         0
 0.0371094	         1	         0	         0
 0.0373535	         1	         0	         0
 0.0375977	         1	         0	         0
 0.0378418	         1	         0	         0
 0.0380859	         1	         0	         0
 0.0383301	         1	         0	         0
 0.0385742	         1	         0	         0
 0.0388184	         1	         0	         0
 0.0390625	         1	         0	         0
 0.0393066	         1	         0	         0
 0.0395508	         1	         0	         0
 0.0397949	         1	         0	         0
 0.0400391	         1	         0	         0
 0.0402832	         1	         0	         0
 0.0405273	         1	         0	         0
 0.0407715	         1	         0	         0
 0.0410156	         1	         0	         0
 0.0412598	         1	         0	         0
 0.0415039	         1	         0	         0
  0.041748	         1	         0	         0
 0.0419922	         1	         0	         0
 0.0422363	         1	         0	         0
 0.0424805	         1	         0	         0
 0.0427246	         1	         0	         0
 0.0429688	         1	         0	         0
 0.0432129	         1	         0	         0
  0.043457	         1	         0	         0
 0.0437012	         1	         0	         0
 0.0439453	         1	         0	         0
 0.0441895	         1	         0	         0
 0.0444336	         1	         0	         0
 0.0446777	         1	         0	         0
 0.0449219	         1	         0	         0
  0.045166	         1	         0	         0
 0.0454102	         1	         0	         0
 0.0456543	         1	         0	         0
 0.0458984	         1	         0	         0
 0.0461426	         1	         0	         0
 0.0463867	         1	         0	         0
 0.0466309	         1	         0	         0
  0.046875	         1	         0	         0
 0.0471191	         1	         0	         0
 0.0473633	         1	         0	         0
 0.0476074	         1	         0	         0
 0.0478516	         1	         0	         0
 0.0480957	         1	         0	         0
 0.0483398	         1	         0	         0
  0.048584	         1	         0	         0
 0.0488281	         1	         0	         0
 0.0490723	         1	         0	         0
 0.0493164	         1	         0	         0
 0.0495605	         1	         0	         0
 0.0498047	         1	         0	         0
 0.0500488	         1	         0	         0
  0.050293	         1	         0	         0
 0.0505371	         1	         0	         0
 0.0507812	         1	         0	         0
 0.0510254	         1	         0	         0
 0.0512695	         1	         0	         0
 0.0515137	         1	         0	         0
 0.0517578	         1	         0	         0
  0.052002	         1	         0	         0
 0.0522461	         1	         0	         0
 0.0524902	         1	         0	         0
 0.0527344	         1	         0	         0
 0.0529785	         1	         0	         0
 0.0532227	         1	         0	         0
 0.0534668	         1	         0	         0
 0.0537109	         1	         0	         0
 0.0539551	         1	         0	         0
 0.0541992	         1	         0	         0
 0.0544434	         1	         0	         0
 0.0546875	         1	         0	         0
 0.0549316	         1	         0	         0
 0.0551758	         1	         0	         0
 0.0554199	         1	         0	         0
 0.0556641	         1	         0	         0
 0.0559082	         1	         0	         0
 0.0561523	         1	         0	         0
 0.0563965	         1	         0	         0
