        p	Mean size	    P inf	    P span
6.10352e-05	         1	         0	         0	         1	         1
0.00012207	         1	         0	         0
0.000183105	         1	         0	         0
0.000244141	         1	         0	         0
0.000305176	         1	         0	         0
0.000366211	         1	         0	         0
0.000427246	         1	         0	         0
0.000488281	         1	         0	         0
0.000549316	         1	         0	         0
0.000610352	         1	         0	         0
0.000671387	         1	         0	         0
0.000732422	         1	         0	         0
0.000793457	         1	         0	         0
0.000854492	         1	         0	         0
0.000915527	         1	         0	         0
0.000976562	         1	         0	         0
 0.0010376	         1	         0	         0
0.00109863	         1	         0	         0
0.00115967	         1	         0	         0
 0.0012207	         1	         0	         0
0.00128174	         1	         0	         0
0.00134277	         1	         0	         0
0.00140381	         1	         0	         0
0.00146484	         1	         0	         0
0.00152588	         1	         0	         0
0.00158691	         1	         0	         0
0.00164795	         1	         0	         0
0.00170898	         1	         0	         0
0.00177002	         1	         0	         0
0.00183105	         1	         0	         0
0.00189209	         1	         0	         0
0.00195312	         1	         0	         0
0.00201416	         1	         0	         0
 0.0020752	         1	         0	         0
0.00213623	         1	         0	         0
0.00219727	         1	         0	         0
 0.0022583	         1	         0	         0
0.00231934	         1	         0	         0
0.00238037	         1	         0	         0
0.00244141	         1	         0	         0
0.00250244	         1	         0	         0
0.00256348	         1	         0	         0
0.00262451	         1	         0	         0
0.00268555	         1	         0	         0
0.00274658	         1	         0	         0
0.00280762	         1	         0	         0
0.00286865	         1	         0	         0
0.00292969	         1	         0	         0
0.00299072	         1	         0	         0
0.00305176	         1	         0	         0
0.00311279	         1	         0	         0
0.00317383	         1	         0	         0
0.00323486	         1	         0	         0
 0.0032959	         1	         0	         0
0.00335693	         1	         0	         0
0.00341797	         1	         0	         0
  0.003479	         1	         0	         0
0.00354004	         1	         0	         0
0.00360107	         1	         0	         0
0.00366211	         1	         0	         0
0.00372314	         1	         0	         0
0.00378418	         1	         0	         0
0.00384521	         1	         0	         0
0.00390625	         1	         0	         0
0.00396729	         1	         0	         0
0.00402832	         1	         0	         0
0.00408936	         1	         0	         0
0.00415039	         1	         0	         0
0.00421143	         1	         0	         0
0.00427246	         1	         0	         0
 0.0043335	         1	         0	         0
0.00439453	         1	         0	         0
0.00445557	         1	         0	         0
 0.0045166	         1	         0	         0
0.00457764	         1	         0	         0
0.00463867	         1	         0	         0
0.00469971	         1	         0	         0
0.00476074	         1	         0	         0
0.00482178	         1	         0	         0
0.00488281	         1	         0	         0
0.00494385	         1	         0	         0
0.00500488	         1	         0	         0
0.00506592	         1	         0	         0
0.00512695	         1	         0	         0
0.00518799	         1	         0	         0
0.00524902	         1	         0	         0
0.00531006	         1	         0	         0
0.00537109	         1	         0	         0
0.00543213	         1	         0	         0
0.00549316	         1	         0	         0
 0.0055542	         1	         0	         0
0.00561523	         1	         0	         0
0.00567627	         1	         0	         0
 0.0057373	         1	         0	         0
0.00579834	         1	         0	         0
0.00585938	         1	         0	         0
0.00592041	         1	         0	         0
0.00598145	         1	         0	         0
0.00604248	         1	         0	         0
0.00610352	         1	         0	         0
0.00616455	         1	         0	         0
0.00622559	         1	         0	         0
0.00628662	         1	         0	         0
0.00634766	         1	         0	         0
0.00640869	         1	         0	         0
0.00646973	         1	         0	         0
0.00653076	         1	         0	         0
 0.0065918	         1	         0	         0
0.00665283	         1	         0	         0
0.00671387	         1	         0	         0
 0.0067749	         1	         0	         0
0.00683594	         1	         0	         0
0.00689697	         1	         0	         0
0.00695801	         1	         0	         0
0.00701904	         1	         0	         0
0.00708008	         1	         0	         0
0.00714111	         1	         0	         0
0.00720215	         1	         0	         0
0.00726318	         1	         0	         0
0.00732422	         1	         0	         0
0.00738525	         1	         0	         0
0.00744629	         1	         0	         0
0.00750732	         1	         0	         0
0.00756836	         1	         0	         0
0.00762939	         1	         0	         0
0.00769043	         1	         0	         0
0.00775146	         1	         0	         0
 0.0078125	         1	         0	         0
0.00787354	         1	         0	         0
0.00793457	         1	         0	         0
0.00799561	         1	         0	         0
0.00805664	         1	         0	         0
0.00811768	         1	         0	         0
0.00817871	         1	         0	         0
0.00823975	         1	         0	         0
0.00830078	         1	         0	         0
0.00836182	         1	         0	         0
0.00842285	         1	         0	         0
0.00848389	         1	         0	         0
0.00854492	         1	         0	         0
0.00860596	         1	         0	         0
0.00866699	         1	         0	         0
0.00872803	         1	         0	         0
0.00878906	         1	         0	         0
 0.0088501	         1	         0	         0
0.00891113	         1	         0	         0
0.00897217	         1	         0	         0
 0.0090332	         1	         0	         0
0.00909424	         1	         0	         0
0.00915527	         1	         0	         0
0.00921631	         1	         0	         0
0.00927734	         1	         0	         0
0.00933838	         1	         0	         0
0.00939941	         1	         0	         0
0.00946045	         1	         0	         0
0.00952148	         1	         0	         0
0.00958252	         1	         0	         0
0.00964355	         1	         0	         0
0.00970459	         1	         0	         0
0.00976562	         1	         0	         0
0.00982666	         1	         0	         0
 0.0098877	         1	         0	         0
0.00994873	         1	         0	         0
 0.0100098	         1	         0	         0
 0.0100708	         1	         0	         0
 0.0101318	         1	         0	         0
 0.0101929	         1	         0	         0
 0.0102539	         1	         0	         0
 0.0103149	         1	         0	         0
  0.010376	         1	         0	         0
  0.010437	         1	         0	         0
  0.010498	         1	         0	         0
 0.0105591	         1	         0	         0
 0.0106201	         1	         0	         0
 0.0106812	         1	         0	         0
 0.0107422	         1	         0	         0
 0.0108032	         1	         0	         0
 0.0108643	         1	         0	         0
 0.0109253	         1	         0	         0
 0.0109863	         1	         0	         0
 0.0110474	         1	         0	         0
 0.0111084	         1	         0	         0
 0.0111694	         1	         0	         0
 0.0112305	         1	         0	         0
 0.0112915	         1	         0	         0
 0.0113525	         1	         0	         0
 0.0114136	         1	         0	         0
 0.0114746	         1	         0	         0
 0.0115356	         1	         0	         0
 0.0115967	         1	         0	         0
 0.0116577	         1	         0	         0
 0.0117188	         1	         0	         0
 0.0117798	         1	         0	         0
 0.0118408	         1	         0	         0
 0.0119019	         1	         0	         0
 0.0119629	         1	         0	         0
 0.0120239	         1	         0	         0
  0.012085	         1	         0	         0
  0.012146	         1	         0	         0
  0.012207	         1	         0	         0
 0.0122681	         1	         0	         0
 0.0123291	         1	         0	         0
 0.0123901	         1	         0	         0
 0.0124512	         1	         0	         0
 0.0125122	         1	         0	         0
 0.0125732	         1	         0	         0
 0.0126343	         1	         0	         0
 0.0126953	         1	         0	         0
 0.0127563	         1	         0	         0
 0.0128174	         1	         0	         0
 0.0128784	         1	         0	         0
 0.0129395	         1	         0	         0
 0.0130005	         1	         0	         0
 0.0130615	         1	         0	         0
 0.0131226	         1	         0	         0
 0.0131836	         1	         0	         0
 0.0132446	         1	         0	         0
 0.0133057	         1	         0	         0
 0.0133667	         1	         0	         0
 0.0134277	         1	         0	         0
 0.0134888	         1	         0	         0
 0.0135498	         1	         0	         0
 0.0136108	         1	         0	         0
 0.0136719	         1	         0	         0
 0.0137329	         1	         0	         0
 0.0137939	         1	         0	         0
  0.013855	         1	         0	         0
  0.013916	         1	         0	         0
 0.0139771	         1	         0	         0
 0.0140381	         1	         0	         0
 0.0140991	         1	         0	         0
 0.0141602	         1	         0	         0
 0.0142212	         1	         0	         0
 0.0142822	         1	         0	         0
 0.0143433	         1	         0	         0
 0.0144043	         1	         0	         0
 0.0144653	         1	         0	         0
 0.0145264	         1	         0	         0
 0.0145874	         1	         0	         0
 0.0146484	         1	         0	         0
 0.0147095	         1	         0	         0
 0.0147705	         1	         0	         0
 0.0148315	         1	         0	         0
 0.0148926	         1	         0	         0
 0.0149536	         1	         0	         0
 0.0150146	         1	         0	         0
 0.0150757	         1	         0	         0
 0.0151367	         1	         0	         0
 0.0151978	         1	         0	         0
 0.0152588	         1	         0	         0
 0.0153198	         1	         0	         0
 0.0153809	         1	         0	         0
 0.0154419	         1	         0	         0
 0.0155029	         1	         0	         0
  0.015564	         1	         0	         0
  0.015625	         1	         0	         0
  0.015686	         1	         0	         0
 0.0157471	         1	         0	         0
 0.0158081	         1	         0	         0
 0.0158691	         1	         0	         0
 0.0159302	         1	         0	         0
 0.0159912	         1	         0	         0
 0.0160522	         1	         0	         0
 0.0161133	         1	         0	         0
 0.0161743	         1	         0	         0
 0.0162354	         1	         0	         0
 0.0162964	         1	         0	         0
 0.0163574	         1	         0	         0
 0.0164185	         1	         0	         0
 0.0164795	         1	         0	         0
 0.0165405	         1	         0	         0
 0.0166016	         1	         0	         0
 0.0166626	         1	         0	         0
 0.0167236	         1	         0	         0
 0.0167847	         1	         0	         0
 0.0168457	         1	         0	         0
 0.0169067	         1	         0	         0
 0.0169678	         1	         0	         0
 0.0170288	         1	         0	         0
 0.0170898	         1	         0	         0
 0.0171509	         1	         0	         0
 0.0172119	         1	         0	         0
 0.0172729	         1	         0	         0
  0.017334	         1	         0	         0
  0.017395	         1	         0	         0
 0.0174561	         1	         0	         0
 0.0175171	         1	         0	         0
 0.0175781	         1	         0	         0
 0.0176392	         1	         0	         0
 0.0177002	         1	         0	         0
 0.0177612	         1	         0	         0
 0.0178223	         1	         0	         0
 0.0178833	         1	         0	         0
 0.0179443	         1	         0	         0
 0.0180054	         1	         0	         0
 0.0180664	         1	         0	         0
 0.0181274	         1	         0	         0
 0.0181885	         1	         0	         0
 0.0182495	         1	         0	         0
 0.0183105	         1	         0	         0
 0.0183716	         1	         0	         0
 0.0184326	         1	         0	         0
 0.0184937	         1	         0	         0
 0.0185547	         1	         0	         0
 0.0186157	         1	         0	         0
 0.0186768	         1	         0	         0
 0.0187378	         1	         0	         0
 0.0187988	         1	         0	         0
 0.0188599	         1	         0	         0
 0.0189209	         1	         0	         0
 0.0189819	         1	         0	         0
  0.019043	         1	         0	         0
  0.019104	         1	         0	         0
  0.019165	         1	         0	         0
 0.0192261	         1	         0	         0
 0.0192871	         1	         0	         0
 0.0193481	         1	         0	         0
 0.0194092	         1	         0	         0
 0.0194702	         1	         0	         0
 0.0195312	         1	         0	         0
 0.0195923	         1	         0	         0
 0.0196533	         1	         0	         0
 0.0197144	         1	         0	         0
 0.0197754	         1	         0	         0
 0.0198364	         1	         0	         0
 0.0198975	         1	         0	         0
 0.0199585	         1	         0	         0
 0.0200195	         1	         0	         0
 0.0200806	         1	         0	         0
 0.0201416	         1	         0	         0
 0.0202026	         1	         0	         0
 0.0202637	         1	         0	         0
 0.0203247	         1	         0	         0
 0.0203857	         1	         0	         0
 0.0204468	         1	         0	         0
 0.0205078	         1	         0	         0
 0.0205688	         1	         0	         0
 0.0206299	         1	         0	         0
 0.0206909	         1	         0	         0
  0.020752	         1	         0	         0
  0.020813	         1	         0	         0
  0.020874	         1	         0	         0
 0.0209351	         1	         0	         0
